open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1775044800000,2134.18,2134.41,2128.16,2130.64,17614.996,1775045099999,37538636.58535,20881,8268.864,17620674.77382,0
1775045100000,2130.63,2133.44,2130.50,2131.78,8686.309,1775045399999,18518807.59021,13558,5783.918,12330390.52300,0
1775045400000,2131.79,2135.80,2131.79,2133.43,6524.049,1775045699999,13922437.87612,11302,3702.530,7901111.99426,0
1775045700000,2133.43,2135.67,2133.05,2135.01,6042.648,1775045999999,12899026.22560,10356,3149.586,6723076.86395,0
1775046000000,2135.01,2135.01,2131.01,2132.97,4744.249,1775046299999,10119364.90941,10012,2377.774,5071417.75668,0
1775046300000,2132.97,2134.37,2130.26,2131.92,5805.428,1775046599999,12375782.06990,8781,2259.514,4816384.68789,0
1775046600000,2131.92,2134.40,2128.15,2128.57,14283.426,1775046899999,30431601.12038,17743,5011.933,10678203.70100,0
1775046900000,2128.57,2129.31,2120.84,2123.12,48237.269,1775047199999,102467051.44659,45688,20903.383,44405561.18782,0
1775047200000,2123.12,2149.37,2122.03,2141.01,55096.110,1775047499999,117640210.44819,39360,35402.966,75628198.97354,0
1775047500000,2141.00,2143.24,2129.68,2130.36,81607.442,1775047799999,174292452.64714,81436,38237.650,81679084.08970,0
1775047800000,2130.36,2135.57,2126.28,2128.72,18718.632,1775048099999,39889932.94169,26176,9141.715,19482499.95349,0
1775048100000,2128.72,2132.05,2127.78,2129.89,11582.413,1775048399999,24667053.54931,16919,6915.744,14728596.36740,0
1775048400000,2129.89,2130.78,2116.28,2119.79,78967.951,1775048699999,167494408.35175,52296,29447.801,62443045.89740,0
1775048700000,2119.79,2120.27,2112.22,2120.22,59059.284,1775048999999,124966547.88627,48965,30146.937,63788614.99833,0
1775049000000,2120.21,2128.59,2119.75,2126.53,39597.024,1775049299999,84132058.22528,36316,20601.998,43775577.49058,0
1775049300000,2126.52,2132.47,2126.52,2130.77,35994.242,1775049599999,76677430.33723,29248,19789.065,42154665.66326,0
1775049600000,2130.78,2130.78,2127.10,2128.70,9693.044,1775049899999,20638325.09825,17637,4131.199,8795385.16771,0
1775049900000,2128.70,2133.74,2128.30,2132.21,13383.172,1775050199999,28532864.17914,16336,7321.447,15608233.82621,0
1775050200000,2132.22,2133.00,2125.13,2130.54,20338.334,1775050499999,43299258.70112,46067,9150.259,19481165.24542,0
1775050500000,2130.55,2134.22,2127.01,2128.68,16785.868,1775050799999,35748056.97064,32689,7245.334,15432336.79598,0
1775050800000,2128.68,2128.68,2107.53,2115.37,89494.529,1775051099999,189266405.19522,94382,39429.802,83373288.28295,0
1775051100000,2115.38,2118.16,2110.42,2113.31,41473.632,1775051399999,87674146.34108,64040,21109.103,44627948.48522,0
1775051400000,2113.31,2124.74,2111.70,2118.61,33410.959,1775051699999,70789027.86626,56604,20531.583,43506729.65907,0
1775051700000,2118.62,2120.98,2115.41,2118.58,14046.559,1775051999999,29759379.59843,25315,6423.880,13610432.33860,0
1775052000000,2118.57,2122.99,2116.86,2119.64,17366.742,1775052299999,36812777.30415,33720,9820.751,20817296.77994,0
1775052300000,2119.64,2121.05,2112.83,2118.00,17740.147,1775052599999,37551098.11813,32776,7599.434,16091192.93249,0
1775052600000,2117.99,2120.80,2115.78,2120.80,11159.324,1775052899999,23634072.64255,27127,5633.959,11932634.25697,0
1775052900000,2120.80,2124.63,2119.58,2122.02,13376.546,1775053199999,28385220.74964,29249,7521.516,15962713.07781,0
1775053200000,2122.02,2127.65,2119.86,2121.03,21635.429,1775053499999,45944290.51350,37500,12392.998,26321307.21682,0
1775053500000,2121.02,2124.68,2119.73,2124.48,8740.476,1775053799999,18550888.33280,19221,4786.575,10159544.09623,0
1775053800000,2124.48,2128.99,2114.46,2115.31,30439.425,1775054099999,64632457.45183,40666,12538.584,26645546.24794,0
1775054100000,2115.30,2125.33,2114.20,2120.37,24275.635,1775054399999,51439048.25270,37617,13039.207,27631335.40315,0
1775054400000,2120.36,2121.60,2115.26,2120.43,12014.302,1775054699999,25455436.55371,29946,5793.980,12277912.23169,0
1775054700000,2120.43,2126.50,2118.51,2126.36,13132.853,1775054999999,27871214.62702,22576,7146.639,15168747.86338,0
1775055000000,2126.36,2129.84,2123.80,2127.48,24266.975,1775055299999,51622633.56210,29994,11009.338,23419424.00800,0
1775055300000,2127.48,2127.48,2123.55,2125.97,8116.423,1775055599999,17251105.95804,17357,3814.412,8107634.19758,0
1775055600000,2125.98,2127.87,2123.78,2126.05,8164.551,1775055899999,17356948.57529,20046,4590.129,9758123.82526,0
1775055900000,2126.05,2130.61,2126.03,2128.50,14614.308,1775056199999,31105190.09834,23368,9103.078,19375767.44716,0
1775056200000,2128.50,2128.64,2122.48,2123.74,12959.866,1775056499999,27536106.97622,20607,5073.729,10779835.25461,0
1775056500000,2123.74,2127.80,2121.00,2126.61,11056.058,1775056799999,23485262.42159,18946,5412.045,11497030.03917,0
1775056800000,2126.61,2132.87,2123.90,2132.87,22051.494,1775057099999,46945519.40189,29609,11574.733,24646642.08450,0
1775057100000,2132.88,2137.67,2128.10,2130.47,28886.597,1775057399999,61615252.23951,34638,15130.240,32281154.03508,0
1775057400000,2130.47,2134.05,2128.37,2129.80,13728.657,1775057699999,29255402.46777,25176,4977.694,10607136.02015,0
1775057700000,2129.81,2134.00,2129.47,2129.85,10411.395,1775057999999,22194175.28872,19959,4431.175,9447360.13864,0
1775058000000,2129.85,2132.36,2128.04,2130.79,12914.957,1775058299999,27503643.13526,15451,7987.893,17012757.84457,0
1775058300000,2130.79,2134.21,2130.79,2131.55,10173.772,1775058599999,21699731.64553,16396,4477.667,9551109.44242,0
1775058600000,2131.55,2136.94,2131.29,2133.67,10538.253,1775058899999,22485221.17595,18028,5941.890,12677545.21291,0
1775058900000,2133.68,2136.00,2133.27,2133.93,12213.295,1775059199999,26071108.81682,18841,5536.422,11817832.58575,0
1775059200000,2133.93,2134.86,2128.54,2128.63,14725.189,1775059499999,31388266.47636,23266,4892.989,10432890.94038,0
1775059500000,2128.63,2130.00,2124.63,2128.65,16675.437,1775059799999,35476632.33903,22170,7656.288,16289831.46231,0
1775059800000,2128.64,2130.36,2123.65,2125.93,19003.419,1775060099999,40403168.88002,24343,7940.119,16880636.14454,0
1775060100000,2125.93,2131.68,2124.67,2131.43,18170.957,1775060399999,38665880.56721,23598,9804.110,20867649.38885,0
1775060400000,2131.43,2133.00,2129.21,2130.97,8175.958,1775060699999,17425306.35708,14227,4033.466,8595894.27055,0
1775060700000,2130.98,2139.17,2130.20,2135.16,19880.878,1775060999999,42458323.18168,23968,12113.971,25870256.84279,0
